,Epoch,Batch,Layer_0,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20
0,init,init,[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0]
0,221,0,[0.97798],[0.98882],[0.99961],[0.99532],[1.04909],[1.02711],[1.01494],[1.01476],[1.01357],[0.98215],[1.01203],[0.98122],[1.00751],[0.99788],[1.02358],[1.0027],[1.00267],[0.96328],[0.9987],[0.95893],[0.98816]
0,221,1,[0.99757],[0.99616],[1.01716],[0.97726],[1.04983],[1.03152],[1.02331],[0.99625],[1.01251],[0.98148],[1.02953],[0.97825],[0.98213],[0.99155],[1.00462],[1.00865],[1.03299],[0.95371],[0.99976],[0.94689],[0.98889]
0,221,2,[0.9927],[0.97901],[1.02799],[0.98468],[1.07243],[1.04028],[1.03986],[1.00252],[1.02745],[1.01773],[1.01598],[0.99352],[0.92372],[0.97706],[0.99142],[1.04247],[1.00199],[0.95937],[0.97174],[0.9267],[1.01139]
